0.83 6
0.97 37
0.92 26
0.97 32
0.79 24
0.75 16
0.95 22
1.00 5
1.00 5
0.97 30
0.05 21
0.43 14
0.87 15
0.85 26
0.95 37
0.00 13
0.91 11
0.86 7
0.86 21
0.36 28
1.00 8
0.88 33
0.87 23
0.33 18
0.75 20
0.83 12
0.88 25
0.90 21
1.00 10
0.67 3
0.94 18
0.95 40
0.75 4
0.82 22
0.92 24
0.85 20
0.93 15
1.00 14
0.06 32
0.95 19
0.87 30
0.77 13
0.06 31
0.91 11
0.88 8
0.91 32
0.73 26
0.88 26
0.87 15
1.00 4
0.93 14
0.06 17
0.91 22
0.93 14
0.96 23
0.59 41
0.04 26
0.08 25
1.00 7
0.10 21
0.10 20
0.76 17
1.00 15
0.55 22
0.66 29
0.20 15
1.00 23
0.83 23
0.86 29
0.90 30
0.58 12
0.92 12
0.38 21
0.04 26
0.60 5
0.87 23
0.80 15
0.79 29
0.85 13
0.04 25
0.92 12
0.93 14
0.59 22
0.31 13
0.77 35
0.89 18
0.27 15
0.46 24
1.00 22
0.71 7
1.00 2
1.00 2
0.06 18
0.83 24
0.84 32
0.58 19
0.23 31
0.04 26
0.96 28
0.90 31
0.85 27
1.00 8
1.00 6
0.50 20
0.94 17
0.92 36
0.04 25
0.94 18
0.16 32
0.35 23
0.89 47
0.24 21
0.71 28
0.00 10
0.76 41
1.00 23
0.79 24
0.02 46
0.21 24
0.34 29
0.86 22
1.00 13
0.00 19
0.88 16
0.00 13
0.03 31
0.64 14
0.20 15
0.14 29
0.85 13
0.70 10
0.95 19
0.14 28
1.00 15
0.94 18
0.97 31
0.94 17
0.88 26
0.58 31
0.86 7
0.75 4
0.80 5
0.92 13
0.96 24
0.50 20
1.00 7
0.64 14
0.94 16
1.00 29
0.25 28
0.92 24
0.81 21
1.00 9
0.96 24
0.89 18
0.93 14
0.88 17
0.89 19
0.90 20
0.18 22
0.73 11
0.09 23
0.96 27
0.83 18
0.95 19
0.10 21
0.80 15
1.00 10
0.75 8
1.00 8
0.53 19
0.50 12
0.88 8
0.82 17
0.93 15
0.87 15
1.00 22
0.89 18
0.94 17
0.81 26
0.11 9
0.92 12
0.77 22
0.83 18
0.03 32
0.93 29
1.00 8
0.12 16
0.86 22
0.75 12
0.95 19
0.90 21
0.97 36
0.83 12
0.21 29
0.94 16
0.27 37
0.02 41
0.05 57
0.02 52
1.00 10
0.91 22
1.00 8
0.63 30
0.92 24
0.86 14
0.60 30
0.82 11
0.92 26
0.66 29
0.70 23
0.17 23
0.80 20
0.86 21
0.85 26
0.83 35
0.79 34
0.92 25
0.85 13
0.81 32
1.00 11
0.90 30
0.74 39
0.48 21
0.88 34
0.77 13
0.89 9
0.97 34
0.96 27
0.87 23
1.00 3
0.88 16
0.82 11
0.81 16
0.10 39
1.00 4
0.37 27
0.39 18
0.90 10
0.00 6
0.92 26
0.17 6
0.03 30
0.04 52
1.00 4
0.30 10
0.95 19
0.88 16
0.85 13
0.16 44
0.41 27
0.92 24
1.00 28
0.22 27
0.85 26
0.96 27
0.94 18
0.36 33
0.03 33
0.36 25
0.55 33
0.88 17
0.00 13
0.91 11
0.67 21
0.09 11
0.26 27
0.08 13
0.05 21
0.38 24
0.46 48
1.00 13
0.94 34
0.69 45
0.95 19
0.45 31
0.86 7
0.69 32
0.96 26
0.74 27
0.88 17
0.32 28
0.81 16
0.06 18
0.91 11
0.59 37
0.48 29
0.73 22
0.95 20
0.91 11
0.90 20
0.94 16
1.00 9
0.95 20
0.26 35
0.05 40
1.00 24
0.93 14
0.96 27
0.50 28
0.95 19
0.00 24
0.88 17
0.82 17
0.80 20
0.92 13
0.00 31
0.89 27
0.71 7
0.57 7
0.94 18
0.67 18
0.06 18
0.88 16
1.00 3
1.00 3
0.79 19
0.92 13
0.65 17
0.72 39
0.60 30
1.00 13
0.63 49
0.75 20
0.87 15
0.55 22
0.67 15
0.76 25
1.00 5
0.89 9
0.88 17
0.78 18
0.56 16
0.65 23
0.35 17
0.39 38
0.86 7
0.95 21
0.95 22
1.00 6
1.00 22
0.87 15
0.93 15
0.19 27
1.00 9
0.22 9
0.90 10
0.91 11
1.00 20
0.90 29
0.93 30
0.34 50
0.40 20
0.92 39
0.68 28
0.76 25
0.90 29
0.93 27
0.91 23
0.88 34
0.86 14
0.40 15
0.21 29
0.93 27
1.00 32
0.92 24
1.00 22
0.23 31
0.91 22
0.89 19
0.90 21
0.88 33
0.83 18
0.80 35
0.90 21
0.71 21
0.89 19
1.00 20
0.97 30
0.90 21
0.92 25
1.00 12
0.94 16
0.96 23
0.93 15
1.00 22
0.91 23
0.00 28
0.10 42
0.04 27
0.04 23
0.40 5
0.88 33
0.73 22
0.56 25
0.81 16
0.11 28
0.00 16
0.15 20
0.00 27
0.70 20
0.93 29
0.87 23
0.96 25
0.94 34
0.91 23
0.91 32
0.00 12
0.45 22
0.83 18
0.68 22
0.50 30
0.67 12
0.41 27
0.92 12
0.86 14
0.00 7
0.20 15
0.04 24
0.25 16
0.87 39
0.29 34
0.03 40
0.82 22
0.41 22
0.48 27
0.25 20
0.89 18
0.88 16
0.86 14
0.18 22
0.42 12
0.62 16
0.85 27
0.81 37
0.50 8
0.44 16
